,0,1,2,3,4
1,-0.2731471,-0.009760237,0.13060778,0.120684065,0.11050564
2,0.05679117,0.08995905,0.022538343,0.03917092,-0.07506794
3,0.01608327,0.042856112,-0.006367875,-0.05910513,-0.07264101
4,-0.12063535,-0.024687542,0.0983841,-0.05187659,0.22997583
,0,1,2,3,4
0,-0.025718598,0.03475373,-0.0759446,0.043838426,-0.014413362
1,0.01077038,-0.059857827,-0.14189368,-0.11248246,0.07199981
2,0.100205965,-0.09553643,-0.111083955,-0.09632015,0.052618384
3,0.033490296,-0.19148698,-0.3102378,-0.1538113,0.060095333
4,-0.05092152,-0.069218084,-0.062645,-0.007098339,-0.06508301
,0,1,2,3,4
0,-0.0059222025,-0.033223365,-0.007609326,-0.012293827,-0.039404083
1,0.15251961,0.08479755,0.092429765,0.06563635,0.02104139
2,0.045616303,0.042583205,-0.10487867,-0.09038676,-0.1275149
3,0.00425931,-0.13217282,-0.24133348,-0.16905025,-0.040062744
4,-0.02434533,-0.20349598,-0.2107368,0.05583834,0.11995932
,0,1,2,3,4
0,-0.058026887,-0.006354437,-0.035641182,-0.035685968,-0.023773164
1,-0.09360034,-0.074553415,-0.17887577,-0.097580634,-0.060461655
2,0.059758496,0.10665197,-0.10946645,-0.026146602,0.049167745
3,-0.053095993,-0.037605703,-0.15055482,-0.073262714,-0.07577781
4,-0.027847473,0.007693095,-0.086599156,-0.13544883,-0.1275233
,0,1,2,3,4
0,-0.090325475,-0.2839409,-0.22180986,-0.1407296,0.033925343
1,-0.3796642,-0.12493683,0.037802983,0.24006413,0.2887395
2,-0.070861384,-0.005790819,0.0045700856,0.20062874,0.1846014
3,0.088318504,-0.013170162,-0.08940233,0.024273602,-0.016101383
4,0.12979981,0.021388168,0.20695435,-0.14862105,-0.05296025
,0,1,2,3,4
0,0.065326795,0.16056399,-0.0119765755,0.09578691,-0.041801367
1,0.07510219,0.028977951,0.11458073,0.01107066,-0.1377429
2,-0.13017854,-0.015833365,-0.007670983,0.11159148,-0.049323745
3,-0.023083845,0.10319887,-0.03580655,0.051808532,-0.2016727
4,-0.03703318,0.031500358,0.18538143,0.16226281,-0.16505197
,0,1,2,3,4
0,-0.048099995,-0.013766765,-0.006191759,-0.033437096,0.029712334
1,0.10246746,0.08503612,-0.039861962,0.07892435,0.03485447
2,0.014848773,0.07986128,0.12697265,0.047692757,0.017514836
3,0.073179774,0.14725286,0.020921089,0.031910494,0.05452658
4,0.03381098,-0.044926185,-0.02749158,-0.015615108,0.022424215
,0,1,2,3,4
0,-0.19035031,-0.2022469,-0.19691284,-0.11589283,0.10850102
1,0.058317117,0.03517211,0.16712351,0.09058585,0.04686991
2,0.12352724,0.13207968,0.025877556,-0.13153738,-0.20049599
3,-0.15267916,-0.21433823,-0.3648027,-0.21052012,-0.19597773
4,0.022469172,0.066280805,-0.042170145,-0.0189719,-0.050381895
,0,1,2,3,4
0,0.045133177,-0.16687669,-0.039893858,0.08385308,0.07255512
1,0.008245638,0.0448766,0.10795488,0.06380237,0.11187777
2,0.10389744,0.073759705,-0.020857379,-0.022406414,0.006757956
3,-0.16438536,-0.13777575,-0.07046096,0.015693398,0.034337908
4,-0.07026342,0.036468342,-0.14175649,0.00511486,-0.03118015
,0,1,2,3,4
0,-0.10745905,0.047850803,0.08966763,-0.01501211,-0.22383073
1,-0.020788455,0.09870174,-0.23190553,-0.27267194,-0.08466747
2,-0.12039934,-0.18078028,-0.11162139,0.030145595,-0.110415705
3,0.20454681,0.17325616,0.15351099,0.038077917,-0.1536936
4,-0.08016045,-0.094344534,-0.06824712,-0.2696735,-0.08168869
,0,1,2,3,4
0,-0.017729094,0.047206424,-0.022007318,-0.08826284,-0.01913248
1,-0.10181138,0.027992576,-0.009558739,-0.012081573,0.09030596
2,-0.05468742,0.07681864,0.17542535,0.08524718,0.046619594
3,-0.06189558,0.031893328,-0.099198796,0.07795763,0.056781832
4,-0.047058653,-0.10848017,-0.13133377,0.10712688,0.0969753
,0,1,2,3,4
0,-0.16352125,-0.12791917,-0.10560472,-0.113216296,-0.10952273
1,-0.19302654,-0.095340475,-0.006237,-0.026892964,0.04703324
2,0.2275533,0.20098898,0.0773366,0.117584236,-0.060503073
3,0.18091547,0.112651244,-0.002244177,-0.17359622,-0.19140393
4,-0.049848065,-0.1183994,-0.13017732,0.01676404,-0.12835224
,0,1,2,3,4
0,-0.0448175,-0.050399426,-0.040996797,-0.14565699,-0.1936022
1,-0.114213735,-0.120887995,-0.26659644,-0.17062968,-0.14746003
2,0.13854194,0.0051699397,0.057912663,0.087370396,-0.0705385
3,0.18120326,0.13045397,-0.046129312,-0.0011058681,-0.119919986
4,-0.17456242,-0.17691693,-0.099418335,-0.03509028,-0.089109495
,0,1,2,3,4
0,-0.029632006,0.072397396,-0.0340831,-0.105095215,0.041147597
1,-0.08210467,0.0036321348,0.13150145,0.07679943,0.111332044
2,0.02807538,0.063024715,0.17272726,0.026810825,0.008808789
3,-0.06659778,0.0046503586,-0.018913437,-0.050536558,0.05676315
4,0.010256373,-0.12102979,-0.07156621,0.067855954,-0.030396286
,0,1,2,3,4
0,-0.06876015,-0.0015874294,-0.09686339,-0.0077964654,-0.16041479
1,-0.16727732,-0.011403876,-0.41439414,-0.37086493,-0.060468506
2,0.036317468,0.00813131,0.07494818,0.11559412,0.012203275
3,0.091423176,0.2037324,0.15968136,-0.008264286,-0.017516581
4,-0.31333658,-0.10217011,-0.11140344,-0.060899623,-0.07580173
,0,1,2,3,4
0,0.1317135,-0.006368991,0.042168397,0.01303723,-0.06273766
1,-0.0646301,-0.113856174,-0.24446678,-0.18747629,0.021989277
2,-0.13947214,-0.07719951,-0.12369257,0.006897264,-0.07006682
3,0.114672415,0.10702598,0.058211632,0.057290684,0.007879279
4,-0.029398093,-0.029512582,0.040668108,0.036918435,0.01505992
,0,1,2,3,4
0,-0.20277356,-0.07597798,0.012429206,0.01747669,-0.23653571
1,-0.049450092,0.02398108,-0.23397437,-0.33876634,-0.12231798
2,-0.032018766,-0.0770609,0.067823045,-0.018378582,-0.12364388
3,0.25478867,0.22040568,0.117820516,0.05142672,-0.21028103
4,-0.17742482,-0.076420486,-0.025927147,-0.19721025,-0.14455114
,0,1,2,3,4
0,-0.020736769,-0.19405091,0.079772875,0.057238877,0.012540641
1,0.019411685,-0.113279246,0.030231314,-0.024418104,-0.10605238
2,0.14746468,0.11312845,-0.095022075,-0.038438328,-0.019912982
3,0.09847332,-0.02898327,0.006899951,0.013598177,0.040393304
4,0.0231563,-0.02711515,0.051067337,-0.011513132,-0.055756755
,0,1,2,3,4
0,0.034829687,0.045437004,-0.059956968,-0.16170393,-0.043181643
1,0.0024134463,-0.016257985,0.03359797,0.18422034,0.040680964
2,0.026460087,0.0044836397,0.17901282,0.11857451,0.06572815
3,-0.0005517233,0.03713327,0.10972208,0.07263942,-0.00663005
4,-0.08399409,-0.004666062,-0.027118636,0.0048523676,0.068499945
,0,1,2,3,4
0,-0.08195367,-0.13497858,-0.01115324,0.08884183,0.07748359
1,-0.050512787,-0.020247556,0.04300613,0.010261498,0.034750056
2,0.13687493,0.12871273,-0.038506106,-0.09243589,0.0011689613
3,0.022212656,-0.10827014,-0.1262028,-0.011260053,0.06181773
4,0.076106265,-0.07600609,-0.008099401,0.07246735,0.042351004
,0,1,2,3,4
0,0.20188841,0.14100721,0.16557747,0.17013898,-0.016623545
1,0.0909537,0.046916403,-0.014003531,-0.11672127,0.047300335
2,-0.3439829,-0.24450445,-0.14492634,-0.056668676,0.02411039
3,0.08125689,0.03155429,-0.017420603,0.0007983593,-0.009470483
4,-0.058354713,-0.05069118,-0.12488238,-0.015413917,-0.053838708
,0,1,2,3,4
0,0.18750267,-0.02391976,-0.23068099,-0.112891786,-0.056580637
1,0.018374758,-0.09227223,-0.18966877,-0.14925644,-0.24831757
2,0.031502523,-0.12228138,-0.19760548,-0.095010355,-0.36792034
3,-0.041468125,-0.14751957,0.13617016,0.30420583,0.15664345
4,-0.10352368,0.058662865,0.17004605,-0.019313186,-0.07277961
,0,1,2,3,4
0,0.09229541,0.028490432,-0.004488126,0.054603517,0.060994856
1,-0.12172155,-0.060313605,-0.099373445,0.107476875,0.018607685
2,-0.02460019,-0.18518056,-0.011708343,0.0075434796,0.1296196
3,0.00717544,0.041520037,-0.09332017,-0.20920646,0.10893318
4,0.086213976,0.024876725,-0.055955715,0.0043997588,0.11561451
,0,1,2,3,4
